,Q1,Q2,Q3,Q4,Q5,Long_Short_Gross,Long_Short_Net
2015-03-31,-0.022318590188793612,-0.0027535717313665353,-0.016155174520091086,0.0017215071115623938,-0.020266965505957173,0.0020516246828364386,5.162468283643855e-05
2015-04-30,0.02071761643509303,0.02871304801939727,0.010011484568611173,-0.023739289090383666,-0.03157322133755048,-0.05229083777264351,-0.05429083777264351
2015-05-31,-0.017502854214244648,0.00110079353873977,0.02575902568135262,0.03805704961736236,0.06795361254087175,0.0854564667551164,0.08345646675511639
2015-06-30,-0.003104850590637184,-0.03001875832232484,-0.016969390412959667,-0.030469569981652275,-0.0008890239874377552,0.0022158266031994285,0.00021582660319942847
2015-07-31,-0.027272340347889005,0.01812749114824204,0.020713732955416363,0.044060285729397845,0.03685939310387624,0.06413173345176525,0.062131733451765245
2015-08-31,-0.0678975765071529,-0.05717653784383173,-0.05702267455739101,-0.04953518412958485,-0.05799073609776827,0.009906840409384637,0.007906840409384637
2015-09-30,-0.09628635851908253,-0.02365609554815009,-0.0014172221811271962,-0.02696758356523032,-0.06518355119812877,0.03110280732095376,0.029102807320953758
2015-10-31,0.14144859766637427,0.0761277319463391,0.1170013503443432,0.08610595993190133,0.046903831651461156,-0.09454476601491311,-0.09654476601491312
2015-11-30,-0.00851663505141427,-0.004593982422610249,-0.0044776416651112535,0.029018061317759313,0.034933009862377094,0.043449644913791365,0.04144964491379136
2015-12-31,0.010816416404900612,-0.014522964270722508,-0.0053875868639433055,-0.002152423515302609,0.01045140197012505,-0.00036501443477556135,-0.0023650144347755614
2016-01-31,-0.087449215271821,-0.031879719800061906,-0.056700752284978805,-0.04636342770283058,-0.10018540304055204,-0.012736187768731047,-0.014736187768731047
2016-02-29,0.10234143176267518,0.009732314701331865,0.00488285220645102,0.0002451687310943735,-0.02262874287664921,-0.12497017463932439,-0.1269701746393244
2016-03-31,0.0921853782965536,0.08823024690751316,0.09258676788697066,0.09102692067257803,0.07811191633810373,-0.01407346195844987,-0.016073461958449872
2016-04-30,0.059030193638201785,0.025123441444321767,0.004808359752839093,0.0012310368786442,-0.015717654173917118,-0.0747478478121189,-0.07674784781211891
2016-05-31,-0.010051061382717488,0.0036992543029290953,0.015801790664552038,0.017272297122048717,0.033922748382869,0.04397380976558649,0.04197380976558649
2016-06-30,-0.03183227463909032,-0.017508141248943142,0.0168492697300798,0.02098241731731032,-0.018563696615202456,0.013268578023887867,0.011268578023887867
2016-07-31,0.041944285599190466,0.06706591563079844,0.04457927272006052,0.044847628203527355,0.04981184089675978,0.007867555297569315,0.005867555297569315
2016-08-31,0.02378798936500098,0.03381892740170051,-0.00499064668176579,-0.02194794949048624,-0.006747341322905534,-0.030535330687906516,-0.03253533068790652
2016-09-30,-0.02017753090270591,0.014608291812828874,-0.005742252627147035,0.011449401068614688,-0.0036029083423740624,0.016574622560331848,0.014574622560331848
2016-10-31,-0.0481085664119162,-0.030479938502640504,-0.029596961662788124,-0.02085797979670711,-0.021402971888126614,0.026705594523789587,0.024705594523789585
2016-11-30,0.04760939408156157,0.05019211240092163,0.04583453921621166,0.03564873995022268,0.0781783629109489,0.03056896882938733,0.02856896882938733
2016-12-31,-0.007900546752494604,0.025812049835040044,0.020473872516297634,0.0147769237300786,-0.019092383738587702,-0.011191836986093098,-0.013191836986093098
2017-01-31,0.04443585161111265,0.034106817964349646,0.02864173093190308,0.027802119112697286,0.0361743908955437,-0.00826146071556895,-0.01026146071556895
2017-02-28,0.04920931181598555,0.05810191920307411,0.032307018783264155,0.03242616322678632,0.045423862895039815,-0.003785448920945733,-0.005785448920945733
2017-03-31,0.011423608187498968,-0.003092934299043341,0.009257368280228733,0.01387874810543192,-0.008123374210630422,-0.019546982398129388,-0.02154698239812939
2017-04-30,0.006466426506108739,0.021916888290469068,0.027306485165869174,0.011027399514237264,0.01886685638639248,0.01240042988028374,0.01040042988028374
2017-05-31,0.00536339464021776,0.029246195607578095,0.035360628597135124,0.025558708907170383,0.024747890725704987,0.019384496085487226,0.017384496085487228
2017-06-30,0.056141922322029206,0.01675076818798081,0.023703196414288346,0.015313929740387462,0.014228925562914526,-0.04191299675911468,-0.043912996759114684
2017-07-31,0.04627209886649765,0.00932921042770653,-0.001228740578340303,0.02753632384611878,0.034968635457624984,-0.011303463408872665,-0.013303463408872665
2017-08-31,0.009850190462760934,0.015234631732419394,0.003811467812588182,0.029781258821300498,0.019136835530662918,0.009286645067901984,0.007286645067901984
2017-09-30,0.05220752719909274,0.011613163025206496,0.027080765285500418,0.028043657559454187,0.0587220409123254,0.00651451371323266,0.00451451371323266
2017-10-31,-0.016353414634076628,0.0002466448837141829,0.0438597206910331,0.045970071354230306,0.05347675498937034,0.06983016962344696,0.06783016962344696
2017-11-30,0.06774048754894606,0.03116782055367251,0.023210350275679123,0.017510581114152525,0.012998096974862101,-0.054742390574083956,-0.05674239057408396
2017-12-31,-0.006871089124175154,0.01093592068648865,0.01737313997903046,0.005220595551241,0.009279206773874138,0.016150295898049293,0.014150295898049293
2018-01-31,0.060997132147011184,0.023107442427174753,0.04528070526770163,0.0936716478187448,0.0784300054001928,0.017432873253181623,0.015432873253181623
2018-02-28,-0.0746325088010732,-0.04981614341645779,-0.010999714465738723,-0.014298790446009738,-0.0072711340495560306,0.06736137475151717,0.06536137475151717
2018-03-31,-0.005234481063368163,0.00567823355547183,-0.006874316489603068,-0.02132539121291009,0.0005976510511705853,0.0058321321145387486,0.0038321321145387485
2018-04-30,-0.002000778462617833,0.00812166193442611,0.003384251327462362,0.0018481550327789863,-0.014902551253990008,-0.012901772791372175,-0.014901772791372175
2018-05-31,0.05499443297222087,0.17281944588267073,0.030217807120947165,0.053291700193938855,0.11095356437192896,0.055959131399708095,0.05395913139970809
2018-06-30,0.06234090123601676,-0.008012741549626546,0.0004042407053182521,0.011652160955642872,0.0270420453934199,-0.03529885584259686,-0.03729885584259686
2018-07-31,0.008705329055301293,0.03343968211589417,0.033489477697977145,0.04393157107939298,0.00035841793548903783,-0.008346911119812254,-0.010346911119812254
2018-08-31,0.011903585675203427,0.006081546160966312,0.009218827151481783,0.046295672718913654,0.10238826658991829,0.09048468091471486,0.08848468091471486
2018-09-30,0.0014283280515759147,-0.014386241810222673,0.0025340393696315095,-0.00806323364575811,-0.00025881858522777874,-0.0016871466368036936,-0.0036871466368036936
2018-10-31,-0.0491399445175258,-0.03777884907859376,-0.08571691348219666,-0.08354425125586434,-0.15054898945611242,-0.10140904493858663,-0.10340904493858663
2018-11-30,0.022005307760661803,0.05411257434751921,0.06271015966799351,0.04141060363904181,0.01535886579921218,-0.0066464419614496225,-0.008646441961449623
2018-12-31,-0.1065571155173972,-0.06712167887551826,-0.08270807133907342,-0.09163115192096924,-0.09577447158451627,0.010782643932880934,0.008782643932880934
